geoName,GPT-4
Alabama,0
Alaska,0
Arizona,38
Arkansas,0
California,73
Colorado,27
Connecticut,62
Delaware,0
District of Columbia,0
Florida,29
Georgia,31
Hawaii,0
Idaho,0
Illinois,36
Indiana,31
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,32
Massachusetts,64
Michigan,30
Minnesota,38
Mississippi,0
Missouri,0
Montana,0
Nebraska,100
Nevada,57
New Hampshire,0
New Jersey,43
New Mexico,0
New York,44
North Carolina,36
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,36
Pennsylvania,35
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,25
Utah,0
Vermont,0
Virginia,50
Washington,61
West Virginia,0
Wisconsin,0
Wyoming,0
