geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,30
Colorado,25
Connecticut,28
Delaware,0
District of Columbia,100
Florida,21
Georgia,18
Hawaii,0
Idaho,0
Illinois,32
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,29
Massachusetts,39
Michigan,17
Minnesota,20
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,23
New Mexico,0
New York,25
North Carolina,17
North Dakota,0
Ohio,18
Oklahoma,30
Oregon,0
Pennsylvania,18
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,16
Texas,22
Utah,0
Vermont,0
Virginia,23
Washington,56
West Virginia,0
Wisconsin,19
Wyoming,0
