geoName,ChatGPT
Alabama,37
Alaska,40
Arizona,65
Arkansas,39
California,100
Colorado,56
Connecticut,53
Delaware,50
District of Columbia,97
Florida,64
Georgia,64
Hawaii,61
Idaho,49
Illinois,58
Indiana,37
Iowa,36
Kansas,45
Kentucky,34
Louisiana,34
Maine,39
Maryland,74
Massachusetts,78
Michigan,45
Minnesota,50
Mississippi,31
Missouri,43
Montana,36
Nebraska,42
Nevada,50
New Hampshire,45
New Jersey,71
New Mexico,42
New York,62
North Carolina,56
North Dakota,33
Ohio,44
Oklahoma,39
Oregon,54
Pennsylvania,50
Rhode Island,53
South Carolina,37
South Dakota,30
Tennessee,41
Texas,63
Utah,63
Vermont,43
Virginia,70
Washington,80
West Virginia,30
Wisconsin,36
Wyoming,34
