geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,61
Colorado,58
Connecticut,0
Delaware,0
District of Columbia,100
Florida,17
Georgia,26
Hawaii,0
Idaho,0
Illinois,33
Indiana,16
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,26
Massachusetts,54
Michigan,26
Minnesota,28
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,46
New Mexico,0
New York,33
North Carolina,23
North Dakota,0
Ohio,18
Oklahoma,0
Oregon,35
Pennsylvania,25
Rhode Island,0
South Carolina,20
South Dakota,0
Tennessee,20
Texas,26
Utah,38
Vermont,0
Virginia,36
Washington,73
West Virginia,0
Wisconsin,21
Wyoming,0
