geoName,Anthropic
Alabama,0
Alaska,0
Arizona,25
Arkansas,0
California,100
Colorado,36
Connecticut,31
Delaware,0
District of Columbia,0
Florida,24
Georgia,11
Hawaii,0
Idaho,0
Illinois,36
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,30
Massachusetts,64
Michigan,16
Minnesota,20
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,29
New Hampshire,0
New Jersey,38
New Mexico,0
New York,43
North Carolina,23
North Dakota,0
Ohio,22
Oklahoma,0
Oregon,43
Pennsylvania,19
Rhode Island,0
South Carolina,20
South Dakota,0
Tennessee,18
Texas,22
Utah,45
Vermont,0
Virginia,36
Washington,87
West Virginia,0
Wisconsin,0
Wyoming,0
