geoName,Perplexity AI
Alabama,0
Alaska,0
Arizona,82
Arkansas,0
California,82
Colorado,53
Connecticut,0
Delaware,0
District of Columbia,0
Florida,45
Georgia,47
Hawaii,0
Idaho,0
Illinois,42
Indiana,37
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,83
Massachusetts,60
Michigan,44
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,94
New Hampshire,0
New Jersey,51
New Mexico,0
New York,55
North Carolina,45
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,100
Pennsylvania,43
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,48
Texas,45
Utah,0
Vermont,0
Virginia,60
Washington,63
West Virginia,0
Wisconsin,0
Wyoming,0
