geoName,ChatGPT
Alabama,39
Alaska,39
Arizona,61
Arkansas,38
California,100
Colorado,59
Connecticut,67
Delaware,66
District of Columbia,84
Florida,62
Georgia,66
Hawaii,55
Idaho,51
Illinois,58
Indiana,45
Iowa,40
Kansas,44
Kentucky,35
Louisiana,34
Maine,42
Maryland,66
Massachusetts,74
Michigan,53
Minnesota,55
Mississippi,34
Missouri,44
Montana,41
Nebraska,41
Nevada,60
New Hampshire,52
New Jersey,73
New Mexico,47
New York,70
North Carolina,63
North Dakota,47
Ohio,44
Oklahoma,39
Oregon,60
Pennsylvania,52
Rhode Island,59
South Carolina,39
South Dakota,39
Tennessee,43
Texas,66
Utah,72
Vermont,50
Virginia,71
Washington,78
West Virginia,28
Wisconsin,46
Wyoming,49
