geoName,Anthropic
Alabama,0
Alaska,0
Arizona,21
Arkansas,0
California,95
Colorado,33
Connecticut,32
Delaware,0
District of Columbia,100
Florida,22
Georgia,21
Hawaii,46
Idaho,0
Illinois,29
Indiana,11
Iowa,0
Kansas,21
Kentucky,24
Louisiana,0
Maine,0
Maryland,30
Massachusetts,60
Michigan,16
Minnesota,23
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,16
New Hampshire,0
New Jersey,48
New Mexico,32
New York,70
North Carolina,26
North Dakota,0
Ohio,15
Oklahoma,0
Oregon,31
Pennsylvania,27
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,20
Texas,24
Utah,25
Vermont,0
Virginia,32
Washington,99
West Virginia,0
Wisconsin,16
Wyoming,0
