geoName,Microsoft Copilot
Alabama,41
Alaska,0
Arizona,39
Arkansas,41
California,53
Colorado,52
Connecticut,58
Delaware,0
District of Columbia,89
Florida,46
Georgia,51
Hawaii,0
Idaho,50
Illinois,53
Indiana,48
Iowa,69
Kansas,51
Kentucky,33
Louisiana,27
Maine,51
Maryland,61
Massachusetts,76
Michigan,46
Minnesota,53
Mississippi,25
Missouri,34
Montana,61
Nebraska,31
Nevada,39
New Hampshire,67
New Jersey,72
New Mexico,0
New York,54
North Carolina,48
North Dakota,0
Ohio,48
Oklahoma,37
Oregon,51
Pennsylvania,45
Rhode Island,46
South Carolina,47
South Dakota,0
Tennessee,41
Texas,51
Utah,62
Vermont,0
Virginia,64
Washington,86
West Virginia,0
Wisconsin,52
Wyoming,100
