geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,38
Arkansas,0
California,62
Colorado,73
Connecticut,33
Delaware,0
District of Columbia,0
Florida,28
Georgia,37
Hawaii,0
Idaho,0
Illinois,44
Indiana,23
Iowa,42
Kansas,0
Kentucky,34
Louisiana,0
Maine,100
Maryland,32
Massachusetts,68
Michigan,40
Minnesota,49
Mississippi,0
Missouri,31
Montana,0
Nebraska,0
Nevada,0
New Hampshire,69
New Jersey,48
New Mexico,0
New York,44
North Carolina,46
North Dakota,0
Ohio,37
Oklahoma,0
Oregon,66
Pennsylvania,40
Rhode Island,0
South Carolina,34
South Dakota,0
Tennessee,23
Texas,45
Utah,48
Vermont,0
Virginia,72
Washington,100
West Virginia,0
Wisconsin,38
Wyoming,0
