geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,27
Arkansas,66
California,61
Colorado,57
Connecticut,65
Delaware,0
District of Columbia,0
Florida,30
Georgia,32
Hawaii,0
Idaho,0
Illinois,37
Indiana,21
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,54
Massachusetts,69
Michigan,34
Minnesota,60
Mississippi,0
Missouri,41
Montana,0
Nebraska,100
Nevada,0
New Hampshire,0
New Jersey,35
New Mexico,0
New York,41
North Carolina,36
North Dakota,0
Ohio,33
Oklahoma,0
Oregon,52
Pennsylvania,31
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,34
Texas,33
Utah,85
Vermont,0
Virginia,68
Washington,80
West Virginia,0
Wisconsin,20
Wyoming,0
