geoName,Anthropic
Alabama,0
Alaska,0
Arizona,53
Arkansas,0
California,47
Colorado,34
Connecticut,35
Delaware,0
District of Columbia,0
Florida,26
Georgia,18
Hawaii,0
Idaho,0
Illinois,20
Indiana,39
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,26
Massachusetts,38
Michigan,35
Minnesota,32
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,0
New Hampshire,100
New Jersey,21
New Mexico,0
New York,34
North Carolina,41
North Dakota,0
Ohio,28
Oklahoma,40
Oregon,53
Pennsylvania,32
Rhode Island,0
South Carolina,43
South Dakota,0
Tennessee,21
Texas,29
Utah,43
Vermont,0
Virginia,42
Washington,49
West Virginia,0
Wisconsin,22
Wyoming,0
