geoName,GPT-4
Alabama,0
Alaska,0
Arizona,41
Arkansas,0
California,100
Colorado,65
Connecticut,0
Delaware,0
District of Columbia,0
Florida,37
Georgia,42
Hawaii,0
Idaho,0
Illinois,44
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,53
Massachusetts,90
Michigan,71
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,63
New Mexico,0
New York,63
North Carolina,35
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,0
Pennsylvania,48
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,42
Texas,43
Utah,0
Vermont,0
Virginia,57
Washington,83
West Virginia,0
Wisconsin,0
Wyoming,0
