geoName,ChatGPT
Alabama,46
Alaska,48
Arizona,65
Arkansas,44
California,100
Colorado,61
Connecticut,66
Delaware,67
District of Columbia,90
Florida,68
Georgia,78
Hawaii,62
Idaho,54
Illinois,62
Indiana,59
Iowa,42
Kansas,44
Kentucky,47
Louisiana,44
Maine,49
Maryland,77
Massachusetts,84
Michigan,61
Minnesota,61
Mississippi,42
Missouri,52
Montana,42
Nebraska,48
Nevada,69
New Hampshire,53
New Jersey,91
New Mexico,49
New York,73
North Carolina,67
North Dakota,50
Ohio,53
Oklahoma,46
Oregon,61
Pennsylvania,62
Rhode Island,66
South Carolina,46
South Dakota,44
Tennessee,50
Texas,72
Utah,78
Vermont,53
Virginia,71
Washington,70
West Virginia,34
Wisconsin,51
Wyoming,47
