geoName,Microsoft Copilot
Alabama,33
Alaska,0
Arizona,46
Arkansas,39
California,51
Colorado,50
Connecticut,43
Delaware,70
District of Columbia,100
Florida,48
Georgia,54
Hawaii,65
Idaho,43
Illinois,55
Indiana,44
Iowa,45
Kansas,40
Kentucky,40
Louisiana,24
Maine,37
Maryland,57
Massachusetts,60
Michigan,42
Minnesota,61
Mississippi,32
Missouri,53
Montana,41
Nebraska,36
Nevada,41
New Hampshire,48
New Jersey,55
New Mexico,0
New York,50
North Carolina,47
North Dakota,54
Ohio,40
Oklahoma,38
Oregon,49
Pennsylvania,49
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,39
Texas,48
Utah,60
Vermont,67
Virginia,67
Washington,95
West Virginia,0
Wisconsin,52
Wyoming,0
