geoName,Meta AI
Alabama,48
Alaska,0
Arizona,44
Arkansas,0
California,91
Colorado,59
Connecticut,44
Delaware,0
District of Columbia,0
Florida,48
Georgia,43
Hawaii,0
Idaho,0
Illinois,45
Indiana,44
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,64
Massachusetts,75
Michigan,29
Minnesota,34
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,76
New Mexico,0
New York,70
North Carolina,36
North Dakota,0
Ohio,54
Oklahoma,0
Oregon,66
Pennsylvania,33
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,26
Texas,48
Utah,58
Vermont,0
Virginia,55
Washington,100
West Virginia,0
Wisconsin,41
Wyoming,0
