geoName,Perplexity AI
Alabama,21
Alaska,0
Arizona,68
Arkansas,37
California,84
Colorado,42
Connecticut,80
Delaware,0
District of Columbia,100
Florida,39
Georgia,62
Hawaii,67
Idaho,0
Illinois,52
Indiana,30
Iowa,0
Kansas,48
Kentucky,27
Louisiana,29
Maine,0
Maryland,60
Massachusetts,97
Michigan,35
Minnesota,38
Mississippi,0
Missouri,44
Montana,0
Nebraska,0
Nevada,46
New Hampshire,0
New Jersey,73
New Mexico,0
New York,70
North Carolina,49
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,40
Pennsylvania,42
Rhode Island,72
South Carolina,0
South Dakota,0
Tennessee,32
Texas,62
Utah,61
Vermont,0
Virginia,57
Washington,72
West Virginia,0
Wisconsin,27
Wyoming,0
