geoName,Grok AI
Alabama,0
Alaska,0
Arizona,91
Arkansas,0
California,98
Colorado,55
Connecticut,92
Delaware,0
District of Columbia,0
Florida,58
Georgia,46
Hawaii,0
Idaho,0
Illinois,48
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,47
Michigan,46
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,73
New Mexico,0
New York,73
North Carolina,31
North Dakota,0
Ohio,64
Oklahoma,0
Oregon,88
Pennsylvania,50
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,54
Utah,100
Vermont,0
Virginia,82
Washington,76
West Virginia,0
Wisconsin,0
Wyoming,0
