geoName,GitHub Copilot
Alabama,19
Alaska,0
Arizona,34
Arkansas,0
California,58
Colorado,56
Connecticut,28
Delaware,0
District of Columbia,100
Florida,22
Georgia,28
Hawaii,0
Idaho,0
Illinois,37
Indiana,15
Iowa,34
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,40
Massachusetts,63
Michigan,38
Minnesota,64
Mississippi,0
Missouri,15
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,40
New Mexico,0
New York,40
North Carolina,35
North Dakota,0
Ohio,24
Oklahoma,24
Oregon,45
Pennsylvania,32
Rhode Island,0
South Carolina,25
South Dakota,0
Tennessee,25
Texas,37
Utah,29
Vermont,0
Virginia,50
Washington,72
West Virginia,0
Wisconsin,29
Wyoming,0
