geoName,Google DeepMind
Alabama,20
Alaska,0
Arizona,22
Arkansas,0
California,69
Colorado,28
Connecticut,37
Delaware,0
District of Columbia,0
Florida,32
Georgia,30
Hawaii,0
Idaho,0
Illinois,39
Indiana,18
Iowa,0
Kansas,100
Kentucky,0
Louisiana,0
Maine,0
Maryland,45
Massachusetts,62
Michigan,25
Minnesota,0
Mississippi,0
Missouri,27
Montana,0
Nebraska,0
Nevada,39
New Hampshire,76
New Jersey,41
New Mexico,0
New York,58
North Carolina,27
North Dakota,0
Ohio,23
Oklahoma,0
Oregon,20
Pennsylvania,28
Rhode Island,0
South Carolina,16
South Dakota,0
Tennessee,18
Texas,30
Utah,36
Vermont,0
Virginia,35
Washington,48
West Virginia,0
Wisconsin,27
Wyoming,0
