geoName,ChatGPT
Alabama,78
Alaska,59
Arizona,83
Arkansas,92
California,100
Colorado,76
Connecticut,75
Delaware,89
District of Columbia,97
Florida,91
Georgia,94
Hawaii,79
Idaho,81
Illinois,82
Indiana,69
Iowa,66
Kansas,67
Kentucky,68
Louisiana,72
Maine,58
Maryland,88
Massachusetts,80
Michigan,77
Minnesota,75
Mississippi,89
Missouri,72
Montana,55
Nebraska,78
Nevada,88
New Hampshire,66
New Jersey,98
New Mexico,82
New York,83
North Carolina,85
North Dakota,67
Ohio,72
Oklahoma,82
Oregon,75
Pennsylvania,69
Rhode Island,70
South Carolina,79
South Dakota,58
Tennessee,70
Texas,96
Utah,79
Vermont,53
Virginia,90
Washington,80
West Virginia,54
Wisconsin,70
Wyoming,69
