geoName,GPT-4
Alabama,20
Alaska,0
Arizona,20
Arkansas,0
California,41
Colorado,25
Connecticut,0
Delaware,0
District of Columbia,58
Florida,28
Georgia,24
Hawaii,0
Idaho,0
Illinois,32
Indiana,14
Iowa,48
Kansas,100
Kentucky,17
Louisiana,17
Maine,0
Maryland,23
Massachusetts,36
Michigan,19
Minnesota,13
Mississippi,0
Missouri,22
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,25
New Mexico,0
New York,39
North Carolina,19
North Dakota,0
Ohio,13
Oklahoma,19
Oregon,20
Pennsylvania,27
Rhode Island,0
South Carolina,17
South Dakota,0
Tennessee,20
Texas,23
Utah,28
Vermont,0
Virginia,36
Washington,33
West Virginia,0
Wisconsin,13
Wyoming,0
