geoName,GPT-5
Alabama,20
Alaska,0
Arizona,21
Arkansas,0
California,49
Colorado,38
Connecticut,35
Delaware,0
District of Columbia,70
Florida,31
Georgia,27
Hawaii,0
Idaho,0
Illinois,34
Indiana,14
Iowa,0
Kansas,100
Kentucky,19
Louisiana,23
Maine,0
Maryland,32
Massachusetts,49
Michigan,25
Minnesota,20
Mississippi,0
Missouri,24
Montana,0
Nebraska,0
Nevada,36
New Hampshire,0
New Jersey,32
New Mexico,40
New York,41
North Carolina,21
North Dakota,0
Ohio,22
Oklahoma,20
Oregon,19
Pennsylvania,26
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,34
Texas,28
Utah,41
Vermont,0
Virginia,40
Washington,45
West Virginia,39
Wisconsin,26
Wyoming,0
