geoName,Perplexity AI
Alabama,18
Alaska,0
Arizona,26
Arkansas,19
California,54
Colorado,27
Connecticut,37
Delaware,0
District of Columbia,100
Florida,25
Georgia,26
Hawaii,35
Idaho,0
Illinois,26
Indiana,22
Iowa,20
Kansas,25
Kentucky,12
Louisiana,15
Maine,32
Maryland,27
Massachusetts,45
Michigan,23
Minnesota,20
Mississippi,0
Missouri,19
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,46
New Mexico,0
New York,44
North Carolina,25
North Dakota,0
Ohio,16
Oklahoma,0
Oregon,32
Pennsylvania,22
Rhode Island,0
South Carolina,16
South Dakota,0
Tennessee,23
Texas,30
Utah,34
Vermont,0
Virginia,34
Washington,48
West Virginia,0
Wisconsin,19
Wyoming,0
