geoName,Anthropic
Alabama,10
Alaska,0
Arizona,19
Arkansas,0
California,72
Colorado,32
Connecticut,29
Delaware,0
District of Columbia,100
Florida,16
Georgia,16
Hawaii,0
Idaho,0
Illinois,22
Indiana,8
Iowa,0
Kansas,21
Kentucky,0
Louisiana,11
Maine,0
Maryland,24
Massachusetts,40
Michigan,14
Minnesota,7
Mississippi,0
Missouri,12
Montana,0
Nebraska,0
Nevada,20
New Hampshire,0
New Jersey,27
New Mexico,0
New York,44
North Carolina,17
North Dakota,0
Ohio,15
Oklahoma,14
Oregon,23
Pennsylvania,21
Rhode Island,0
South Carolina,13
South Dakota,0
Tennessee,13
Texas,19
Utah,27
Vermont,0
Virginia,28
Washington,88
West Virginia,0
Wisconsin,12
Wyoming,0
