geoName,ChatGPT
Alabama,38
Alaska,40
Arizona,67
Arkansas,39
California,90
Colorado,62
Connecticut,57
Delaware,52
District of Columbia,100
Florida,71
Georgia,70
Hawaii,61
Idaho,49
Illinois,57
Indiana,43
Iowa,38
Kansas,44
Kentucky,33
Louisiana,33
Maine,38
Maryland,82
Massachusetts,72
Michigan,52
Minnesota,50
Mississippi,35
Missouri,46
Montana,33
Nebraska,42
Nevada,58
New Hampshire,50
New Jersey,79
New Mexico,48
New York,74
North Carolina,55
North Dakota,38
Ohio,42
Oklahoma,38
Oregon,64
Pennsylvania,49
Rhode Island,58
South Carolina,38
South Dakota,38
Tennessee,42
Texas,65
Utah,61
Vermont,45
Virginia,75
Washington,84
West Virginia,29
Wisconsin,39
Wyoming,39
