geoName,GPT-4
Alabama,0
Alaska,0
Arizona,54
Arkansas,0
California,77
Colorado,50
Connecticut,0
Delaware,0
District of Columbia,0
Florida,40
Georgia,26
Hawaii,0
Idaho,0
Illinois,39
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,78
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,0
Missouri,62
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,52
New Mexico,0
New York,60
North Carolina,0
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,0
Pennsylvania,24
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,46
Utah,0
Vermont,0
Virginia,33
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
