geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,24
Arkansas,0
California,54
Colorado,42
Connecticut,25
Delaware,0
District of Columbia,100
Florida,15
Georgia,30
Hawaii,0
Idaho,0
Illinois,32
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,26
Massachusetts,63
Michigan,22
Minnesota,35
Mississippi,0
Missouri,16
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,40
New Mexico,0
New York,34
North Carolina,27
North Dakota,0
Ohio,20
Oklahoma,0
Oregon,40
Pennsylvania,30
Rhode Island,0
South Carolina,18
South Dakota,0
Tennessee,14
Texas,33
Utah,49
Vermont,0
Virginia,41
Washington,70
West Virginia,0
Wisconsin,27
Wyoming,0
